entry_time,exit_time,direction,entry_price,exit_price,pnl,hold_bars
2023-05-23 11:00:00,2023-05-23 11:30:00,SHORT,1066.2,1065.3,55000.000000009095,2
2023-05-24 14:00:00,2023-05-24 14:30:00,SHORT,1058.3,1056.1,185000.00000000454,2
2023-06-01 10:45:00,2023-06-01 11:30:00,SHORT,1058.3,1057.6,35000.00000000454,3
2023-06-09 14:15:00,2023-06-09 14:30:00,LONG,1093.7,1095.6,154999.99999998635,1
2023-06-12 14:15:00,2023-06-12 14:30:00,LONG,1106.7,1108.2,115000.0,1
2023-06-13 11:00:00,2023-06-13 11:30:00,LONG,1110.8,1109.3,-185000.0,2
2023-06-16 14:15:00,2023-06-16 14:30:00,SHORT,1102.0,1102.5,-85000.0,1
2023-06-19 13:30:00,2023-06-19 14:30:00,SHORT,1098.1,1096.5,124999.99999999092,4
2023-06-20 14:00:00,2023-06-20 14:30:00,SHORT,1093.1,1099.5,-675000.0000000091,2
2023-06-21 11:15:00,2023-06-21 11:30:00,SHORT,1097.5,1097.7,-55000.00000000455,1
2023-06-21 14:00:00,2023-06-21 14:30:00,LONG,1104.4,1115.0,1024999.9999999909,2
2023-06-22 13:15:00,2023-06-22 14:30:00,SHORT,1114.0,1113.6,5000.000000009095,5
2023-06-23 13:30:00,2023-06-23 14:30:00,LONG,1116.5,1119.1,224999.99999999092,4
2023-06-27 13:45:00,2023-06-27 14:30:00,SHORT,1122.8,1125.2,-275000.0000000091,3
2023-06-28 14:15:00,2023-06-28 14:30:00,LONG,1135.0,1132.8,-255000.00000000454,1
2023-06-30 14:15:00,2023-06-30 14:30:00,LONG,1119.0,1117.3,-205000.00000000454,1
2023-07-04 10:00:00,2023-07-04 11:30:00,LONG,1117.3,1120.5,285000.00000000454,6
2023-07-05 13:30:00,2023-07-05 14:30:00,LONG,1127.3,1124.0,-364999.99999999546,4
2023-07-06 11:15:00,2023-07-06 11:30:00,SHORT,1121.5,1121.4,-25000.000000009095,1
2023-07-10 11:15:00,2023-07-10 13:00:00,LONG,1129.0,1131.7,235000.00000000454,1
2023-07-11 14:00:00,2023-07-11 14:30:00,SHORT,1137.9,1138.0,-44999.999999990905,2
2023-07-12 11:15:00,2023-07-12 11:30:00,SHORT,1138.5,1138.2,-5000.0000000045475,1
2023-07-13 14:00:00,2023-07-13 14:30:00,LONG,1151.3,1155.0,335000.00000000454,2
2023-07-17 13:15:00,2023-07-17 14:30:00,LONG,1163.7,1162.1,-195000.00000001365,5
2023-07-18 11:00:00,2023-07-18 11:30:00,LONG,1162.8,1161.6,-155000.00000000454,2
2023-07-19 14:15:00,2023-07-19 14:30:00,SHORT,1167.3,1164.5,244999.99999999546,1
2023-07-20 14:00:00,2023-07-20 14:30:00,SHORT,1160.3,1165.1,-514999.99999999546,2
2023-07-24 13:30:00,2023-07-24 14:30:00,SHORT,1183.6,1191.1,-785000.0,4
2023-07-25 13:30:00,2023-07-25 14:30:00,LONG,1196.2,1194.1,-245000.00000001365,4
2023-07-26 13:45:00,2023-07-26 14:30:00,LONG,1195.7,1196.9,85000.00000000454,3
2023-07-31 14:00:00,2023-07-31 14:30:00,LONG,1220.5,1234.4,1355000.000000009,2
2023-08-01 13:15:00,2023-08-01 14:30:00,SHORT,1233.4,1220.0,1305000.000000009,5
2023-08-03 13:15:00,2023-08-03 14:15:00,LONG,1219.1,1207.6,-1185000.0,4
2023-08-07 14:00:00,2023-08-07 14:30:00,LONG,1240.2,1250.1,954999.9999999864,2
2023-08-09 11:00:00,2023-08-09 11:30:00,SHORT,1241.5,1238.3,285000.00000000454,2
2023-08-10 13:15:00,2023-08-10 14:30:00,SHORT,1236.0,1226.7,894999.9999999955,5
2023-08-11 14:15:00,2023-08-11 14:30:00,LONG,1240.8,1239.5,-164999.99999999546,1
2023-08-14 11:00:00,2023-08-14 11:30:00,LONG,1243.3,1244.6,94999.99999999546,2
2023-08-15 13:30:00,2023-08-15 14:30:00,SHORT,1238.0,1241.0,-335000.0,4
2023-08-22 14:15:00,2023-08-22 14:30:00,LONG,1194.8,1196.5,135000.00000000454,1
2023-08-25 13:15:00,2023-08-25 14:30:00,LONG,1198.3,1194.9,-374999.9999999864,5
2023-08-28 13:15:00,2023-08-28 14:30:00,LONG,1206.4,1211.5,474999.9999999909,5
2023-08-29 13:45:00,2023-08-29 14:30:00,SHORT,1209.0,1211.8,-314999.99999999546,3
