entry_time,exit_time,direction,entry_price,exit_price,pnl,hold_bars
2025-07-14 09:30:00,2025-07-14 11:30:00,SHORT,1587.8,1596.6,-914999.9999999955,8
2025-07-15 14:00:00,2025-07-15 14:30:00,LONG,1606.8,1594.0,-1314999.9999999953,2
2025-07-18 11:15:00,2025-07-18 11:30:00,SHORT,1621.4,1621.1,-4999.99999998181,1
2025-07-18 14:15:00,2025-07-18 14:30:00,LONG,1636.0,1638.0,165000.0,1
2025-07-21 14:15:00,2025-07-21 14:30:00,SHORT,1624.1,1624.5,-75000.0000000091,1
2025-07-23 11:15:00,2025-07-23 11:30:00,SHORT,1646.9,1647.0,-44999.999999990905,1
2025-07-29 10:15:00,2025-07-29 11:30:00,SHORT,1665.1,1668.6,-385000.0,5
2025-07-30 11:15:00,2025-07-30 13:00:00,SHORT,1607.0,1609.0,-235000.0,1
2025-08-01 13:45:00,2025-08-01 14:30:00,SHORT,1595.0,1615.0,-2035000.0,3
2025-08-07 13:30:00,2025-08-07 14:30:00,SHORT,1716.8,1724.7,-825000.0000000091,4
2025-08-12 14:15:00,2025-08-12 14:30:00,LONG,1745.8,1749.4,325000.0000000136,1
2025-08-19 11:15:00,2025-08-19 11:30:00,LONG,1801.6,1801.5,-44999.999999990905,1
2025-08-20 10:15:00,2025-08-20 13:00:00,SHORT,1805.7,1796.9,844999.9999999955,5
2025-08-20 14:15:00,2025-08-20 14:30:00,LONG,1825.3,1831.1,544999.9999999955,1
2025-08-29 13:45:00,2025-08-29 14:30:00,LONG,1869.0,1861.0,-835000.0,3
2025-09-04 13:30:00,2025-09-04 14:30:00,LONG,1864.5,1883.1,1824999.999999991,4
2025-09-05 13:45:00,2025-09-05 14:30:00,SHORT,1878.6,1845.4,3284999.999999982,3
2025-09-08 13:45:00,2025-09-08 14:30:00,SHORT,1830.3,1800.0,2994999.9999999953,3
2025-09-11 13:30:00,2025-09-11 14:30:00,LONG,1835.5,1853.4,1755000.000000009,4
2025-09-12 13:45:00,2025-09-12 14:30:00,LONG,1864.8,1859.0,-614999.9999999955,3
2025-09-15 13:45:00,2025-09-15 14:30:00,LONG,1867.9,1876.0,774999.9999999909,3
2025-09-16 13:45:00,2025-09-16 14:30:00,SHORT,1880.0,1876.0,365000.0,3
2025-09-19 13:45:00,2025-09-19 14:30:00,SHORT,1849.0,1848.3,35000.00000000454,3
2025-09-24 13:15:00,2025-09-24 14:30:00,LONG,1814.1,1849.0,3455000.0000000093,5
2025-09-30 10:45:00,2025-09-30 13:00:00,SHORT,1848.3,1851.2,-325000.0000000091,3
2025-09-30 14:00:00,2025-09-30 14:30:00,LONG,1860.8,1854.4,-674999.9999999864,2
2025-10-02 14:00:00,2025-10-02 14:30:00,SHORT,1866.5,1852.5,1365000.0,2
2025-10-03 13:15:00,2025-10-03 14:30:00,LONG,1859.0,1856.9,-244999.99999999092,5
2025-10-14 14:15:00,2025-10-14 14:30:00,SHORT,2010.0,2014.1,-444999.9999999909,1
2025-10-15 14:00:00,2025-10-15 14:30:00,LONG,2025.4,2022.0,-375000.0000000091,2
2025-10-16 13:45:00,2025-10-16 14:30:00,SHORT,2013.2,2012.7,15000.0,3
2025-10-21 13:15:00,2025-10-21 14:30:00,LONG,1899.1,1900.2,75000.00000001365,5
2025-10-22 14:15:00,2025-10-22 14:30:00,LONG,1922.0,1926.0,365000.0,1
2025-10-24 10:45:00,2025-10-24 11:30:00,SHORT,1913.9,1929.3,-1574999.9999999863,3
